datetime,B03,B06,B12,B15,B17,B20,Biomass,Fossil Brown coal,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river,Nuclear,Solar,Wind Onshore
2017-01-01 00:00:00+00:00,219.34,5.81,17.5,284.82,16.72,91.37,196.45,4228.65,258.74,445.16,310.73,86.24,3438.89,0.0,82.78
2017-01-01 01:00:00+00:00,211.56,,17.46,284.76,16.71,91.33,194.5,4132.79,262.1,450.7,314.64,86.25,3440.68,,83.37
2017-01-01 02:00:00+00:00,217.21,,17.42,283.8,16.72,91.17,196.79,4260.61,264.01,450.43,603.01,86.26,3441.77,,77.71
2017-01-01 03:00:00+00:00,207.43,,17.39,283.17,16.71,91.13,195.29,4164.19,259.18,446.72,525.74,,3442.94,,73.84
2017-01-01 04:00:00+00:00,209.48,,17.21,282.2,,91.27,196.89,4178.32,262.0,447.14,526.64,89.67,3442.83,,67.14
2017-01-01 05:00:00+00:00,210.82,,28.61,280.1,15.84,94.51,196.73,4255.41,270.62,455.54,933.98,89.14,3444.13,,60.0
2017-01-01 06:00:00+00:00,216.97,5.84,29.78,284.22,15.85,98.85,197.46,4209.45,271.74,459.42,932.77,90.12,3445.16,9.15,73.0
2017-01-01 07:00:00+00:00,211.72,5.82,29.77,285.53,,99.0,197.35,4105.27,275.1,456.92,521.79,88.98,3446.51,50.2,77.04
2017-01-01 08:00:00+00:00,216.19,,18.27,286.28,,99.2,197.41,4210.35,277.52,461.88,411.29,90.62,3448.48,224.68,78.3
2017-01-01 09:00:00+00:00,225.29,,21.01,286.99,,98.62,194.84,4189.89,272.41,457.37,187.29,91.33,3446.17,423.39,67.8
2017-01-01 10:00:00+00:00,232.81,,25.66,288.52,15.86,99.96,193.63,4226.42,272.09,453.45,87.93,87.27,3443.87,556.65,75.9
2017-01-01 11:00:00+00:00,220.36,,21.82,288.35,,100.26,197.18,4239.64,269.27,452.64,17.66,87.82,3442.76,579.55,74.01
2017-01-01 12:00:00+00:00,214.39,,21.71,285.78,15.85,96.4,197.94,4358.02,269.21,454.29,49.94,86.71,3439.16,472.68,68.66
2017-01-01 13:00:00+00:00,210.4,,21.66,283.93,16.73,94.61,198.07,4333.11,267.14,446.3,59.72,86.72,3438.08,268.68,65.08
2017-01-01 14:00:00+00:00,211.27,,21.59,284.4,,94.98,198.03,4442.63,272.59,462.59,131.55,87.86,3438.28,73.55,58.36
2017-01-01 15:00:00+00:00,215.38,,26.49,286.1,16.75,99.14,211.44,4573.14,274.9,457.28,644.09,90.56,3437.79,10.3,67.86
2017-01-01 16:00:00+00:00,217.27,5.83,33.8,291.87,16.76,108.79,218.11,4543.34,278.96,490.05,671.56,87.33,3435.29,0.0,74.71
