datetime,Hydro pumped storage consumption,Cross border electricity trading,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Hydro water reservoir,Hydro pumped storage,Others,Other renewables,Waste,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation
2020-12-31 23:00:00,-0.0,-2698.3,3467.8,150.6,290.7,3639.8,195.7,7.8,279.0,311.9,11.0,0.0,51.5,270.6,23.2,68.5,0.0,6016.6,5948.1,13.3,9.2
2021-01-01 00:00:00,-0.1,-2497.1,3465.6,148.3,290.3,3421.7,194.3,7.0,250.5,313.7,10.9,0.0,52.1,269.5,23.1,65.2,0.0,5952.4,5887.2,13.4,9.3
2021-01-01 01:00:00,-503.1,-1929.1,3464.1,147.2,285.4,3293.2,193.5,7.7,252.6,313.8,10.8,0.0,52.4,271.3,23.4,57.3,0.0,5941.6,5884.3,13.2,9.4
2021-01-01 02:00:00,-764.6,-1773.9,3467.1,146.1,291.4,3272.0,192.8,6.8,247.8,316.0,10.8,0.0,52.1,270.0,23.4,75.8,0.0,5839.2,5763.3,13.8,9.6
2021-01-01 03:00:00,-952.2,-1622.5,3470.6,145.0,292.3,3319.6,197.4,6.8,253.3,316.5,11.1,0.0,51.8,269.6,23.6,69.6,0.0,5845.2,5775.6,13.7,9.5
2021-01-01 04:00:00,-945.6,-1695.1,3471.6,144.9,291.8,3359.3,197.4,7.0,253.8,320.2,11.8,0.0,53.4,268.1,23.3,58.5,0.0,5872.7,5814.2,13.4,9.3
2021-01-01 05:00:00,-1047.5,-1585.0,3472.9,145.3,291.8,3380.5,198.5,6.8,253.4,334.0,16.8,0.0,71.2,274.4,23.1,45.5,0.0,5864.5,5819.0,13.4,9.2
2021-01-01 06:00:00,-992.7,-1676.0,3476.3,143.2,293.0,3479.8,202.9,7.1,238.5,335.5,46.0,0.0,75.0,276.4,23.0,59.4,2.2,5914.8,5853.2,14.1,9.6
2021-01-01 07:00:00,-623.2,-1932.7,3478.5,142.1,293.0,3366.2,201.7,6.9,202.7,336.4,45.4,0.0,77.6,278.4,23.4,63.1,29.3,5953.4,5861.0,14.5,10.1
2021-01-01 08:00:00,-697.7,-1620.0,3478.8,145.2,292.1,3430.4,199.4,6.8,240.9,335.7,26.7,0.0,76.4,280.3,23.2,61.5,142.1,6332.2,6128.6,15.2,11.0
2021-01-01 09:00:00,-34.8,-2065.0,3479.1,140.4,292.1,3368.3,201.8,6.8,248.4,334.5,99.2,0.0,76.7,281.5,23.3,51.5,235.0,6697.6,6411.1,16.6,12.6
2021-01-01 10:00:00,-0.0,-2034.8,3478.8,139.0,291.0,3449.4,203.7,6.9,251.8,338.1,102.2,0.0,80.6,284.6,23.2,44.8,292.1,6837.9,6501.1,17.0,13.0
2021-01-01 11:00:00,-0.0,-2248.0,3477.3,140.7,291.3,3704.3,204.7,6.9,247.5,335.8,93.3,0.0,79.4,284.5,23.5,33.9,284.9,6800.7,6482.0,16.8,12.4
2021-01-01 12:00:00,-0.0,-2189.5,3475.1,140.5,291.5,3687.8,204.6,6.9,273.1,333.9,96.4,0.0,73.1,281.8,23.4,29.6,229.1,6884.2,6625.6,15.7,11.8
2021-01-01 13:00:00,-0.0,-2023.4,3474.4,143.5,291.2,3605.6,198.8,6.9,252.0,332.0,55.8,0.0,69.0,279.6,23.4,32.1,132.8,6801.1,6636.2,13.9,10.6
2021-01-01 14:00:00,-0.0,-1869.8,3473.3,140.4,291.3,3572.2,202.1,6.9,245.5,332.2,120.3,0.0,74.6,282.2,23.3,26.6,37.9,6867.5,6803.0,13.3,10.3
2021-01-01 15:00:00,-0.0,-1839.7,3471.0,139.2,290.8,3597.9,204.1,6.9,266.6,331.8,179.0,65.3,73.0,280.1,23.4,29.1,2.9,7028.3,6996.3,13.3,10.5
2021-01-01 16:00:00,-0.0,-1731.1,3472.7,138.7,293.1,3691.8,203.4,6.9,278.1,343.8,192.7,0.0,76.2,280.0,23.3,30.4,0.0,7188.5,7158.1,13.2,10.5
2021-01-01 17:00:00,-0.0,-1984.8,3473.0,139.5,291.6,3773.9,205.7,6.9,280.0,349.5,203.9,73.4,83.5,285.8,23.4,33.2,0.0,7182.3,7149.1,13.4,10.6
2021-01-01 18:00:00,-0.0,-2077.0,3469.9,139.7,292.5,3778.6,201.7,6.9,272.3,345.4,197.9,72.7,85.3,286.5,23.3,31.7,0.0,7082.0,7050.3,13.6,10.5
2021-01-01 19:00:00,-0.0,-2067.5,3472.4,140.7,290.7,3810.1,203.2,7.1,283.7,338.4,137.9,0.0,80.8,285.2,23.3,35.6,0.0,6979.7,6944.1,12.9,9.9
2021-01-01 20:00:00,-0.0,-2162.2,3474.2,147.8,291.2,3707.8,203.5,6.9,282.2,331.1,24.2,0.0,69.9,281.4,23.3,31.3,0.0,6650.1,6618.8,11.8,8.9
2021-01-01 21:00:00,-0.0,-2086.3,3470.4,151.8,289.4,3576.9,205.5,6.8,272.2,312.9,10.1,0.0,51.6,272.8,22.9,31.3,0.0,6541.5,6510.2,11.7,8.8
2021-01-01 22:00:00,-0.0,-2383.0,3471.0,149.6,290.3,3555.8,210.8,7.3,264.4,309.9,10.0,0.0,50.1,272.2,23.7,27.4,0.0,6273.4,6246.0,12.1,8.8
2021-01-01 23:00:00,-0.0,-2597.4,3473.1,150.7,282.6,3346.6,211.3,6.8,251.8,309.8,18.8,0.0,50.1,269.3,23.6,22.6,0.0,5849.0,5826.4,12.9,9.0
2021-01-02 00:00:00,-0.0,-2289.7,3469.8,150.7,278.8,3030.8,210.8,6.8,248.6,309.5,9.9,0.0,50.8,269.0,23.5,29.7,0.0,5830.0,5800.3,12.9,9.3
2021-01-02 01:00:00,-100.8,-1965.4,3466.0,151.8,281.3,2949.0,206.2,6.8,252.9,309.7,9.8,0.0,51.4,269.1,23.4,28.5,0.0,5934.3,5905.8,12.7,9.4
2021-01-02 02:00:00,-100.6,-2114.7,3466.7,151.8,283.2,2994.9,208.7,6.8,251.7,309.7,9.8,0.0,50.9,267.8,23.8,22.5,0.0,5854.2,5831.8,12.8,9.3
2021-01-02 03:00:00,-60.2,-2042.7,3465.8,150.7,283.2,2970.1,208.0,6.8,248.9,308.1,9.8,0.0,51.0,267.6,23.6,23.5,0.0,5930.8,5907.3,12.6,9.3
2021-01-02 04:00:00,-0.0,-2084.1,3465.8,150.7,284.2,3051.2,204.8,6.8,252.4,313.6,9.8,0.0,51.7,268.2,23.6,24.6,0.0,6031.9,6007.3,12.4,9.2
2021-01-02 05:00:00,-0.0,-2249.6,3467.2,150.1,285.8,3361.5,203.3,6.8,249.6,333.1,14.8,0.0,71.3,277.0,23.8,28.6,0.0,6232.9,6204.3,12.3,9.1
2021-01-02 06:00:00,-0.0,-2541.5,3466.8,147.0,293.5,3750.4,205.4,6.9,250.1,426.4,42.3,0.0,78.4,281.5,24.2,27.0,2.2,6476.4,6447.1,12.4,8.9
