datetime,B03,B06,B12,B15,B17,B20,Biomass,Fossil Brown coal,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river,Nuclear,Solar,Wind Onshore
2019-01-01 00:00:00+00:00,187.95,3.08,22.54,268.98,19.52,92.96,243.83,2676.4,240.07,229.89,80.68,51.08,3485.55,0.0,120.77
2019-01-01 01:00:00+00:00,186.07,,22.45,267.07,19.5,90.85,242.73,2608.57,238.74,230.1,463.46,,3486.82,,119.76
2019-01-01 02:00:00+00:00,185.83,,22.43,265.7,,90.48,241.78,2604.27,239.88,231.7,1060.55,,3483.12,,140.87
2019-01-01 03:00:00+00:00,186.62,,,265.36,,90.82,243.15,2630.49,242.66,231.75,1117.17,,3482.65,,169.09
2019-01-01 04:00:00+00:00,191.67,,22.38,265.53,17.86,91.3,242.88,2649.27,254.34,228.56,1113.48,,3482.66,,173.77
2019-01-01 05:00:00+00:00,198.54,,26.51,269.73,17.89,103.33,243.29,2617.74,281.0,222.48,1105.42,51.99,3481.86,,186.73
2019-01-01 06:00:00+00:00,198.4,3.09,31.52,270.3,17.9,106.75,244.72,2627.73,287.93,224.59,827.37,61.14,3483.0,2.58,196.38
2019-01-01 07:00:00+00:00,194.46,,28.59,271.93,,109.31,244.14,2560.06,284.13,225.17,710.22,54.0,3481.97,4.84,218.06
2019-01-01 08:00:00+00:00,189.1,,23.28,271.48,,109.23,246.06,2599.51,288.17,227.21,162.46,52.08,3466.46,17.93,226.44
2019-01-01 09:00:00+00:00,191.53,,19.06,270.34,17.91,108.55,244.85,2633.42,287.48,232.3,0.0,53.25,3343.54,39.95,237.75
2019-01-01 10:00:00+00:00,187.76,,19.03,269.49,,106.06,243.33,2696.96,283.12,231.05,,,3337.8,65.25,241.79
2019-01-01 11:00:00+00:00,187.3,,18.96,270.56,17.92,109.99,246.69,2673.44,283.75,234.44,,,3334.61,102.91,256.33
2019-01-01 12:00:00+00:00,197.47,,18.93,267.84,19.57,107.07,245.8,2704.26,283.04,228.57,,52.22,3331.59,82.03,250.61
2019-01-01 13:00:00+00:00,194.94,,18.92,266.57,,105.63,245.05,2739.36,280.5,231.67,,,3333.86,40.32,253.35
2019-01-01 14:00:00+00:00,191.27,,18.9,270.87,19.59,112.77,244.11,2704.47,285.87,237.3,,53.25,3336.65,12.04,261.54
2019-01-01 15:00:00+00:00,187.32,,68.12,270.24,19.58,114.59,243.28,2675.6,284.36,233.46,17.56,52.28,3454.85,2.64,265.75
2019-01-01 16:00:00+00:00,186.5,,68.7,272.1,19.59,114.73,243.53,2673.75,286.72,234.03,0.91,50.21,3474.28,0.0,258.4
2019-01-01 17:00:00+00:00,186.56,,22.63,272.5,,115.12,244.65,2676.7,291.79,237.79,104.28,51.07,3475.72,,263.05
2019-01-01 18:00:00+00:00,185.9,,22.15,274.76,,114.5,243.51,2666.78,290.04,236.93,278.48,51.09,3439.76,,262.82
2019-01-01 19:00:00+00:00,188.45,,116.12,273.47,,113.07,243.3,2701.66,291.7,242.49,353.85,49.82,3333.34,,241.62
2019-01-01 20:00:00+00:00,189.33,,106.86,268.73,19.57,110.38,243.13,2668.11,272.21,241.28,6.41,49.87,3334.63,,233.78
2019-01-01 21:00:00+00:00,186.74,3.08,87.67,263.63,19.51,93.12,242.45,2645.09,240.78,247.3,0.0,50.02,3337.26,,266.84
2019-01-01 22:00:00+00:00,182.88,,31.43,263.54,19.5,92.71,242.28,2581.81,238.81,248.52,194.53,50.83,3338.89,,276.48
2019-01-01 23:00:00+00:00,176.44,,26.52,262.82,19.48,92.54,242.05,2488.46,234.93,243.5,51.49,50.96,3341.63,,280.25
2019-01-02 00:00:00+00:00,184.06,,19.16,262.01,19.5,92.69,241.72,2599.1,241.85,247.54,476.49,51.18,3342.02,,284.34
2019-01-02 01:00:00+00:00,177.3,,18.93,262.09,19.48,92.67,242.11,2507.81,233.61,243.08,765.57,51.19,3341.8,,281.84
2019-01-02 02:00:00+00:00,184.32,,18.92,261.83,,92.48,242.1,2500.08,248.16,252.1,657.55,,3344.42,,275.78
2019-01-02 03:00:00+00:00,181.34,,18.85,261.25,19.49,92.72,242.19,2569.65,242.38,249.1,228.55,,3343.68,,270.39
2019-01-02 04:00:00+00:00,192.95,,18.83,260.93,17.85,93.61,242.26,2698.84,242.8,245.82,29.03,,3341.54,,260.56
2019-01-02 05:00:00+00:00,209.0,3.1,26.24,268.3,18.01,113.46,244.24,3280.79,364.27,251.34,34.88,52.0,3433.04,,249.01
2019-01-02 06:00:00+00:00,199.98,3.12,89.95,270.25,18.1,119.48,250.15,4007.5,490.06,251.77,41.27,60.32,3488.15,2.12,252.77
2019-01-02 07:00:00+00:00,206.24,3.13,133.56,271.64,18.15,118.34,252.59,4377.34,817.23,260.16,0.0,52.82,3485.03,18.47,248.92
2019-01-02 08:00:00+00:00,209.98,7.35,82.44,273.43,18.19,121.43,252.19,4679.1,1020.48,258.46,171.2,51.1,3482.5,121.77,234.75
2019-01-02 09:00:00+00:00,215.15,3.13,63.47,274.33,18.21,125.2,253.32,4902.72,1011.13,268.82,200.82,52.34,3482.26,197.84,230.0
2019-01-02 10:00:00+00:00,212.92,3.14,73.61,275.3,,126.4,252.89,5002.27,995.78,307.05,251.23,52.22,3482.59,262.0,241.49
2019-01-02 11:00:00+00:00,217.58,3.13,22.95,275.6,,124.47,252.69,5114.05,903.6,371.38,1.94,53.13,3480.97,207.02,233.33
2019-01-02 12:00:00+00:00,214.21,3.14,21.87,274.93,19.89,121.25,252.6,5196.62,957.89,376.21,0.0,52.13,3483.83,165.82,242.51
2019-01-02 13:00:00+00:00,215.41,,42.03,277.98,19.91,125.58,253.16,5247.64,1026.0,382.45,,51.64,3482.63,86.76,236.24
2019-01-02 14:00:00+00:00,217.28,,22.22,279.45,,126.39,254.3,5331.99,1030.76,381.92,22.32,53.15,3483.24,26.25,241.5
2019-01-02 15:00:00+00:00,216.07,,121.04,278.49,,125.69,253.01,5344.54,1026.85,400.43,15.56,51.85,3484.48,3.14,223.44
2019-01-02 16:00:00+00:00,221.44,,193.62,282.26,19.92,126.69,252.06,5383.89,1037.59,403.13,0.0,49.51,3486.44,0.0,218.72
2019-01-02 17:00:00+00:00,216.3,,208.31,283.06,,127.01,252.94,5363.28,1035.43,384.15,249.99,49.47,3487.26,,241.05
2019-01-02 18:00:00+00:00,214.71,,32.97,284.83,,126.4,252.71,5338.69,1026.5,379.28,333.0,50.8,3486.48,,253.57
2019-01-02 19:00:00+00:00,212.92,3.13,26.17,283.19,19.87,122.55,248.8,5171.76,545.6,377.01,3.5,50.97,3488.42,,237.56
2019-01-02 20:00:00+00:00,221.27,,20.95,281.17,19.85,118.19,251.29,5201.77,291.38,380.48,0.0,51.12,3486.48,,220.51
2019-01-02 21:00:00+00:00,217.16,3.12,20.81,273.85,19.81,99.38,250.37,5150.75,265.79,374.27,,51.13,3486.51,,222.49
2019-01-02 22:00:00+00:00,211.32,,20.79,270.28,19.8,95.55,252.57,5070.44,256.19,372.84,,,3490.2,,215.84
2019-01-02 23:00:00+00:00,210.43,,67.51,269.86,,95.03,225.32,5156.89,256.28,366.43,,55.39,3490.49,,222.52
2019-01-03 00:00:00+00:00,220.17,,59.11,269.92,19.81,95.09,224.12,5215.38,257.26,370.0,0.16,55.49,3484.12,,223.08
2019-01-03 01:00:00+00:00,230.24,,23.38,270.64,,95.01,221.48,5180.62,259.37,369.8,302.33,56.2,3481.16,,218.26
2019-01-03 02:00:00+00:00,232.93,,22.84,267.92,19.79,94.42,223.58,5076.23,256.47,361.65,738.02,56.22,3481.79,,212.18
2019-01-03 03:00:00+00:00,227.71,,22.8,267.39,19.77,94.93,223.91,4783.79,259.23,360.78,637.83,,3480.4,,198.72
2019-01-03 04:00:00+00:00,225.72,,23.23,267.52,18.13,96.79,222.23,5163.61,276.73,363.03,5.01,56.21,3478.65,,178.8
2019-01-03 05:00:00+00:00,236.22,3.13,27.52,277.29,18.19,121.9,223.5,5266.51,514.25,388.78,0.0,57.12,3480.99,,160.08
2019-01-03 06:00:00+00:00,235.95,3.14,161.81,278.33,18.23,126.22,220.56,5356.94,1033.54,428.04,,61.96,3483.23,2.35,161.18
2019-01-03 07:00:00+00:00,247.34,,217.18,277.07,,128.29,223.1,5479.05,1051.14,443.38,,58.7,3484.19,23.19,168.93
2019-01-03 08:00:00+00:00,250.04,3.17,275.16,277.04,18.24,128.54,225.39,5525.68,1059.07,454.31,,58.58,3482.7,76.42,172.91
2019-01-03 09:00:00+00:00,247.72,3.14,178.1,277.19,,127.83,223.26,5533.23,1057.24,458.57,33.64,59.84,3482.79,101.26,180.31
2019-01-03 10:00:00+00:00,247.01,,244.11,280.82,,128.13,226.14,5519.39,1048.46,458.33,59.33,56.58,3481.59,101.58,183.33
2019-01-03 11:00:00+00:00,246.33,,74.56,282.54,,129.31,227.37,5536.23,1047.41,457.19,58.41,57.37,3478.43,87.46,191.19
2019-01-03 12:00:00+00:00,242.77,,69.54,281.28,19.92,128.88,227.33,5518.97,1040.05,453.34,200.49,56.4,3476.84,81.46,199.88
2019-01-03 13:00:00+00:00,245.52,,74.37,281.69,,127.44,228.31,5458.61,1036.05,455.93,184.4,56.34,3475.85,60.96,184.96
2019-01-03 14:00:00+00:00,247.52,,149.97,281.91,,128.36,227.21,5480.48,1040.72,457.9,515.13,56.86,3476.67,18.35,183.87
2019-01-03 15:00:00+00:00,255.21,,180.81,282.52,,128.66,226.17,5473.19,1040.76,458.75,726.64,56.74,3476.36,3.21,180.87
2019-01-03 16:00:00+00:00,256.37,,197.47,283.68,,128.56,225.92,5459.4,1048.15,459.78,859.99,57.72,3477.93,0.0,162.15
2019-01-03 17:00:00+00:00,254.86,,179.67,285.07,19.93,129.91,225.25,5521.79,1052.82,459.88,815.46,57.78,3475.14,,154.57
2019-01-03 18:00:00+00:00,251.02,,162.42,287.32,,130.66,225.23,5530.46,1052.31,456.85,824.82,57.84,3478.64,,159.51
2019-01-03 19:00:00+00:00,256.44,,137.22,285.72,,128.43,224.29,5520.46,1052.9,454.04,500.34,57.95,3477.81,,143.97
2019-01-03 20:00:00+00:00,254.38,,25.04,286.05,19.92,123.52,226.1,5494.5,1012.18,447.55,171.02,56.16,3480.38,,156.61
2019-01-03 21:00:00+00:00,261.35,3.13,22.91,274.29,19.88,98.16,226.86,5419.22,966.11,434.52,0.0,56.22,3479.14,,149.27
2019-01-03 22:00:00+00:00,258.97,,21.96,271.89,19.84,95.2,225.23,5364.82,519.31,399.04,,56.25,3481.9,,123.4
2019-01-03 23:00:00+00:00,239.37,,22.75,270.89,19.82,95.03,224.89,5422.86,270.96,399.74,,56.22,3483.22,,111.27
2019-01-04 00:00:00+00:00,232.02,,22.8,271.86,19.83,95.02,225.02,5432.73,272.54,383.21,156.71,,3481.06,,92.85
2019-01-04 01:00:00+00:00,228.47,,22.81,271.87,19.82,94.62,225.12,5399.89,270.97,380.8,470.01,,3482.68,,90.3
2019-01-04 02:00:00+00:00,224.15,3.12,22.82,269.33,,94.08,225.24,5371.04,272.77,399.34,969.35,,3483.28,,74.24
2019-01-04 03:00:00+00:00,225.07,,22.74,267.62,,94.78,221.51,5393.81,274.53,398.67,1095.97,,3482.07,,81.58
2019-01-04 04:00:00+00:00,229.1,3.13,22.18,266.64,18.15,96.08,220.65,5458.95,287.6,399.86,160.13,56.24,3483.94,,83.64
2019-01-04 05:00:00+00:00,230.42,,26.06,276.56,18.19,122.36,222.71,5470.41,319.85,418.71,0.86,57.16,3483.47,,78.58
2019-01-04 06:00:00+00:00,226.57,,75.24,276.28,,127.34,220.69,5503.94,328.6,419.65,0.0,62.52,3484.22,2.38,76.48
2019-01-04 07:00:00+00:00,226.79,,160.3,275.18,,126.0,220.46,5562.44,325.53,500.42,22.51,58.88,3485.55,13.06,87.67
2019-01-04 08:00:00+00:00,225.78,,166.18,275.34,,126.47,223.21,5526.89,324.39,541.41,89.38,58.85,3485.22,46.79,100.75
2019-01-04 09:00:00+00:00,226.16,,119.86,278.06,18.18,125.91,222.64,5121.35,416.85,585.84,379.82,60.1,3483.15,69.2,129.21
2019-01-04 10:00:00+00:00,228.86,,119.39,278.82,18.19,125.06,219.2,5016.54,647.54,474.44,301.26,57.01,3483.59,72.03,144.07
2019-01-04 11:00:00+00:00,213.98,,185.26,278.86,,123.56,217.65,5013.64,665.06,440.84,4.51,56.73,3484.59,57.38,158.98
2019-01-04 12:00:00+00:00,224.61,,144.19,278.21,19.87,123.69,220.98,5042.4,673.74,446.12,0.0,55.86,3482.51,56.4,154.48
2019-01-04 13:00:00+00:00,223.59,,76.74,278.68,,125.7,220.53,5033.0,664.36,446.63,86.87,56.32,3479.46,29.45,118.43
2019-01-04 14:00:00+00:00,228.46,,122.07,279.88,19.86,129.2,221.77,4930.28,660.09,449.19,226.39,57.0,3478.82,7.36,100.75
2019-01-04 15:00:00+00:00,242.91,,80.77,281.14,,129.5,,4939.22,694.33,456.31,306.29,57.31,3478.0,3.1,101.4
2019-01-04 16:00:00+00:00,238.37,,26.04,282.5,19.87,129.32,222.51,4926.02,926.44,454.37,201.08,59.22,3477.19,0.0,103.87
2019-01-04 17:00:00+00:00,229.1,,20.78,282.48,,129.44,221.95,4700.84,1063.66,444.24,34.4,59.37,3475.55,,86.18
2019-01-04 18:00:00+00:00,232.13,,20.77,282.22,19.89,128.8,,4710.74,1099.86,432.72,0.57,,3475.58,,94.32
2019-01-04 19:00:00+00:00,224.58,,20.74,279.63,19.86,125.43,223.01,4554.81,859.27,389.9,0.0,,3474.01,,100.65
2019-01-04 20:00:00+00:00,240.38,3.12,20.7,277.07,19.8,117.87,222.06,4516.41,283.48,425.21,458.18,56.28,3472.73,,107.91
2019-01-04 21:00:00+00:00,199.06,,67.44,270.83,19.76,97.24,222.08,4461.32,263.92,424.09,159.84,55.39,3472.75,,103.09
2019-01-04 22:00:00+00:00,200.89,3.11,18.32,267.74,19.73,95.04,222.16,4279.48,257.04,425.76,121.99,56.36,3471.96,,90.85
2019-01-04 23:00:00+00:00,199.43,4.02,17.23,266.51,18.05,94.23,222.03,4078.37,254.82,403.73,1.48,57.42,3468.85,,101.44
2019-01-05 00:00:00+00:00,197.73,,,265.79,18.04,93.35,222.28,3996.48,254.1,377.43,1004.01,,3468.32,,99.37
2019-01-05 01:00:00+00:00,195.72,,,267.83,18.05,93.97,221.54,4075.81,254.11,373.39,1071.48,,3466.89,,110.03
2019-01-05 02:00:00+00:00,194.22,,17.17,267.04,18.04,94.41,221.46,4053.68,254.66,366.45,1115.38,57.43,3465.98,,126.35
2019-01-05 03:00:00+00:00,201.69,,17.09,265.73,18.03,94.56,220.75,3905.5,255.14,371.71,1109.64,,3466.01,,141.61
2019-01-05 04:00:00+00:00,197.17,4.01,17.11,264.85,16.34,94.81,220.8,3693.02,260.32,372.47,1101.35,,3465.89,,151.88
2019-01-05 05:00:00+00:00,193.13,4.02,21.22,272.29,16.39,116.25,221.04,3813.96,283.55,374.12,1091.81,58.33,3466.29,,159.47
2019-01-05 06:00:00+00:00,188.44,4.03,25.31,274.49,16.4,120.16,220.19,3839.08,290.22,367.56,104.48,67.47,3426.17,2.93,164.12
