datetime,Hydro pumped storage consumption,Cross border electricity trading,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Hydro water reservoir,Hydro pumped storage,Others,Other renewables,Waste,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation
2023-12-31 23:00:00,-39.8,-1868.6,3707.5,79.4,258.1,2021.5,0.0,1.5,16.1,238.2,451.2,0.0,52.9,273.5,22.8,83.5,0.0,5110.9,5027.4,22.6,16.1
2024-01-01 00:00:00,-94.3,-1640.3,3730.1,79.4,249.3,1803.6,0.0,1.2,16.1,238.1,450.8,0.0,52.7,273.8,22.8,85.5,0.0,5087.9,5002.5,22.6,16.4
2024-01-01 01:00:00,-336.4,-1302.9,3754.6,79.4,249.0,1584.6,0.0,0.7,16.1,238.1,451.9,0.0,53.2,274.3,22.5,86.3,0.0,5005.9,4919.6,23.0,16.9
2024-01-01 02:00:00,-955.6,-753.0,3819.0,79.5,249.8,1504.4,0.0,1.3,16.1,238.9,412.1,0.0,53.2,272.8,22.7,85.5,0.0,4847.1,4761.6,22.9,16.4
2024-01-01 03:00:00,-1096.4,-635.2,3822.8,79.5,245.1,1483.8,0.0,0.8,16.1,240.4,406.9,0.0,54.1,270.6,22.6,86.0,0.0,4806.0,4720.0,22.9,16.3
2024-01-01 04:00:00,-1067.8,-651.0,3818.7,79.5,250.1,1489.3,0.0,1.1,16.1,243.7,411.3,0.0,56.7,271.6,22.5,88.4,0.0,4854.5,4766.1,22.9,16.5
2024-01-01 05:00:00,-561.1,-1158.7,3827.9,79.4,250.3,1483.2,0.0,0.0,16.0,250.9,439.8,0.0,70.5,279.5,22.4,96.8,0.0,4901.3,4804.5,23.6,17.0
2024-01-01 06:00:00,-472.9,-1262.8,3851.2,79.2,247.9,1460.1,0.0,0.0,16.1,251.3,509.9,0.0,73.3,280.6,22.6,94.7,13.1,5036.2,4928.5,24.6,17.9
2024-01-01 07:00:00,-145.1,-1630.5,3868.5,79.2,248.6,1469.7,0.0,0.0,16.0,260.0,516.3,0.0,77.5,282.6,22.5,98.0,29.0,5166.1,5039.1,24.5,18.2
2024-01-01 08:00:00,-9.0,-1576.2,3872.7,80.2,253.1,1501.0,0.0,0.0,16.0,260.4,529.5,0.0,79.0,283.5,22.5,111.5,131.5,5531.1,5288.1,25.3,19.6
