datetime,Hydro pumped storage consumption,Cross border electricity trading,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Hydro water reservoir,Hydro pumped storage,Others,Other renewables,Waste,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation
2018-12-31 23:00:00,-0.0,-2382.8,3485.5,51.0,251.0,3174.6,234.0,3.1,184.5,241.0,23.3,0.0,93.8,270.7,19.6,119.8,0.0,5719.3,5599.5,12.7,8.9
2019-01-01 00:00:00,-80.7,-1810.6,3485.6,51.1,243.8,2676.4,229.9,3.1,187.9,240.1,22.5,0.0,93.0,269.0,19.5,120.8,0.0,5677.7,5557.0,12.6,9.4
2019-01-01 01:00:00,-463.5,-1427.8,3486.8,51.1,242.7,2608.6,230.1,3.1,186.1,238.7,22.4,0.0,90.8,267.1,19.5,119.8,0.0,5622.2,5502.4,12.7,9.4
2019-01-01 02:00:00,-1060.5,-988.0,3483.1,51.1,241.8,2604.3,231.7,3.1,185.8,239.9,22.4,0.0,90.5,265.7,19.5,140.9,0.0,5474.7,5333.9,13.4,9.7
2019-01-01 03:00:00,-1117.2,-1046.7,3482.7,51.1,243.2,2630.5,231.8,3.1,186.6,242.7,22.4,0.0,90.8,265.4,19.5,169.1,0.0,5432.5,5263.4,14.0,10.0
2019-01-01 04:00:00,-1113.5,-1104.6,3482.7,51.1,242.9,2649.3,228.6,3.1,191.7,254.3,22.4,0.0,91.3,265.5,17.9,173.8,0.0,5446.4,5272.6,14.0,10.0
2019-01-01 05:00:00,-1105.4,-1150.8,3481.9,52.0,243.3,2617.7,222.5,3.1,198.5,281.0,26.5,0.0,103.3,269.7,17.9,186.7,0.0,5413.4,5226.7,14.5,10.2
2019-01-01 06:00:00,-827.4,-1491.3,3483.0,61.1,244.7,2627.7,224.6,3.1,198.4,287.9,31.5,0.0,106.8,270.3,17.9,196.4,2.6,5450.2,5251.2,15.0,10.5
2019-01-01 07:00:00,-710.2,-1552.1,3482.0,54.0,244.1,2560.1,225.2,3.1,194.5,284.1,28.6,0.0,109.3,271.9,17.9,218.1,4.8,5449.6,5226.7,15.2,10.8
2019-01-01 08:00:00,-162.5,-1647.5,3466.5,52.1,246.1,2599.5,227.2,3.1,189.1,288.2,23.3,0.0,109.2,271.5,17.9,226.4,17.9,5891.2,5646.9,14.4,10.9
2019-01-01 09:00:00,-0.0,-1405.5,3343.5,53.2,244.8,2633.4,232.3,3.1,191.5,287.5,19.1,0.0,108.5,270.3,17.9,237.8,40.0,6291.9,6014.2,13.9,11.4
2019-01-01 10:00:00,-0.0,-1256.1,3337.8,53.2,243.3,2697.0,231.1,3.1,187.8,283.1,19.0,0.0,106.1,269.5,17.9,241.8,65.2,6502.4,6195.4,13.9,11.6
2019-01-01 11:00:00,-0.0,-1128.0,3334.6,53.2,246.7,2673.4,234.4,3.1,187.3,283.8,19.0,0.0,110.0,270.6,17.9,256.3,102.9,6662.4,6303.2,14.4,12.3
2019-01-01 12:00:00,-0.0,-1039.3,3331.6,52.2,245.8,2704.3,228.6,3.1,197.5,283.0,18.9,0.0,107.1,267.8,19.6,250.6,82.0,6727.3,6394.6,13.8,11.9
2019-01-01 13:00:00,-0.0,-1027.8,3333.9,52.2,245.1,2739.4,231.7,3.1,194.9,280.5,18.9,0.0,105.6,266.6,19.6,253.3,40.3,6721.9,6428.2,13.2,11.4
2019-01-01 14:00:00,-0.0,-863.0,3336.7,53.2,244.1,2704.5,237.3,3.1,191.3,285.9,18.9,0.0,112.8,270.9,19.6,261.5,12.0,6848.6,6575.1,12.7,11.2
2019-01-01 15:00:00,-0.0,-903.0,3454.8,52.3,243.3,2675.6,233.5,3.1,187.3,284.4,68.1,17.6,114.6,270.2,19.6,265.8,2.6,6964.4,6696.0,13.1,11.6
2019-01-01 16:00:00,-0.0,-880.9,3474.3,50.2,243.5,2673.8,234.0,3.1,186.5,286.7,68.7,0.9,114.7,272.1,19.6,258.4,0.0,6963.8,6705.4,13.0,11.4
2019-01-01 17:00:00,-0.0,-983.0,3475.7,51.1,244.7,2676.7,237.8,3.1,186.6,291.8,22.6,104.3,115.1,272.5,19.6,263.1,0.0,6936.1,6673.0,12.5,11.0
2019-01-01 18:00:00,-0.0,-1110.0,3439.8,51.1,243.5,2666.8,236.9,3.1,185.9,290.0,22.1,278.5,114.5,274.8,19.6,262.8,0.0,6895.0,6632.2,12.5,11.1
2019-01-01 19:00:00,-0.0,-1325.1,3333.3,49.8,243.3,2701.7,242.5,3.1,188.4,291.7,116.1,353.9,113.1,273.5,19.6,241.6,0.0,6787.4,6545.8,13.8,11.9
2019-01-01 20:00:00,-0.0,-1274.2,3334.6,49.9,243.1,2668.1,241.3,3.1,189.3,272.2,106.9,6.4,110.4,268.7,19.6,233.8,0.0,6446.7,6212.9,14.1,11.8
2019-01-01 21:00:00,-0.0,-1272.8,3337.3,50.0,242.4,2645.1,247.3,3.1,186.7,240.8,87.7,0.0,93.1,263.6,19.5,266.8,0.0,6342.8,6076.0,14.5,12.0
2019-01-01 22:00:00,-194.5,-1260.3,3338.9,50.8,242.3,2581.8,248.5,3.1,182.9,238.8,31.4,0.0,92.7,263.5,19.5,276.5,0.0,6056.4,5779.9,14.4,11.5
2019-01-01 23:00:00,-51.5,-1541.1,3341.6,51.0,242.1,2488.5,243.5,3.1,176.4,234.9,26.5,0.0,92.5,262.8,19.5,280.2,0.0,5844.1,5563.9,14.9,11.7
2019-01-02 00:00:00,-476.5,-1031.9,3342.0,51.2,241.7,2599.1,247.5,3.1,184.1,241.8,19.2,0.0,92.7,262.0,19.5,284.3,0.0,5935.1,5650.8,14.6,11.4
2019-01-02 01:00:00,-765.6,-700.8,3341.8,51.2,242.1,2507.8,243.1,3.1,177.3,233.6,18.9,0.0,92.7,262.1,19.5,281.8,0.0,5910.4,5628.6,14.7,11.6
2019-01-02 02:00:00,-657.5,-921.0,3344.4,51.2,242.1,2500.1,252.1,3.1,184.3,248.2,18.9,0.0,92.5,261.8,19.5,275.8,0.0,5844.2,5568.4,14.7,11.5
2019-01-02 03:00:00,-228.6,-1211.0,3343.7,51.2,242.2,2569.7,249.1,3.1,181.3,242.4,18.9,0.0,92.7,261.2,19.5,270.4,0.0,6025.7,5755.3,14.2,11.3
2019-01-02 04:00:00,-29.0,-1068.2,3341.5,51.2,242.3,2698.8,245.8,3.1,192.9,242.8,18.8,0.0,93.6,260.9,17.9,260.6,0.0,6565.7,6305.2,12.8,11.0
2019-01-02 05:00:00,-0.0,-979.4,3433.0,52.0,244.2,3280.8,251.3,3.1,209.0,364.3,26.2,34.9,113.5,268.3,18.0,249.0,0.0,7467.4,7218.4,11.4,10.0
2019-01-02 06:00:00,-0.0,-1494.7,3488.2,60.3,250.2,4007.5,251.8,3.1,200.0,490.1,90.0,41.3,119.5,270.2,18.1,252.8,2.1,8025.2,7770.3,11.6,9.8
2019-01-02 07:00:00,-0.0,-1894.6,3485.0,52.8,252.6,4377.3,260.2,3.1,206.2,817.2,133.6,0.0,118.3,271.6,18.1,248.9,18.5,8361.2,8093.8,11.8,9.6
2019-01-02 08:00:00,-0.0,-2310.8,3482.5,51.1,252.2,4679.1,258.5,7.3,210.0,1020.5,82.4,171.2,121.4,273.4,18.2,234.8,121.8,8709.6,8353.1,11.8,9.5
