datetime,Hydro pumped storage consumption,Cross border electricity trading,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Hydro water reservoir,Hydro pumped storage,Others,Other renewables,Waste,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation
2016-12-31 23:00:00,-0.5,-3256.7,3438.8,86.2,198.5,4268.8,456.6,5.8,215.5,253.5,17.6,0.0,91.4,285.9,16.7,90.3,0.0,6250.5,6160.2,11.0,7.3
2017-01-01 00:00:00,-310.7,-2946.9,3438.9,86.2,196.4,4228.6,445.2,5.8,219.3,258.7,17.5,0.0,91.4,284.8,16.7,82.8,0.0,6180.8,6098.0,10.9,7.2
2017-01-01 01:00:00,-314.6,-2929.7,3440.7,86.2,194.5,4132.8,450.7,5.8,211.6,262.1,17.5,0.0,91.3,284.8,16.7,83.4,0.0,6134.3,6050.9,11.0,7.3
2017-01-01 02:00:00,-603.0,-2841.1,3441.8,86.3,196.8,4260.6,450.4,5.8,217.2,264.0,17.4,0.0,91.2,283.8,16.7,77.7,0.0,6041.9,5964.1,11.1,7.1
2017-01-01 03:00:00,-525.7,-2874.5,3442.9,86.3,195.3,4164.2,446.7,5.8,207.4,259.2,17.4,0.0,91.1,283.2,16.7,73.8,0.0,5973.1,5899.3,11.1,7.2
2017-01-01 04:00:00,-526.6,-2898.6,3442.8,89.7,196.9,4178.3,447.1,5.8,209.5,262.0,17.2,0.0,91.3,282.2,16.7,67.1,0.0,5952.2,5885.0,11.1,7.1
2017-01-01 05:00:00,-934.0,-2594.7,3444.1,89.1,196.7,4255.4,455.5,5.8,210.8,270.6,28.6,0.0,94.5,280.1,15.8,60.0,0.0,5965.9,5905.9,11.1,7.0
2017-01-01 06:00:00,-932.8,-2608.1,3445.2,90.1,197.5,4209.4,459.4,5.8,217.0,271.7,29.8,0.0,98.8,284.2,15.8,73.0,9.2,5978.1,5896.0,11.6,7.4
2017-01-01 07:00:00,-521.8,-3000.0,3446.5,89.0,197.3,4105.3,456.9,5.8,211.7,275.1,29.8,0.0,99.0,285.5,15.8,77.0,50.2,5993.7,5866.5,12.3,7.9
2017-01-01 08:00:00,-411.3,-2878.7,3448.5,90.6,197.4,4210.4,461.9,5.8,216.2,277.5,18.3,0.0,99.2,286.3,15.8,78.3,224.7,6475.7,6172.7,14.0,9.4
2017-01-01 09:00:00,-187.3,-2931.2,3446.2,91.3,194.8,4189.9,457.4,5.8,225.3,272.4,21.0,0.0,98.6,287.0,15.8,67.8,423.4,6770.2,6279.0,16.1,11.2
2017-01-01 10:00:00,-0.0,-3354.6,3443.9,87.3,193.6,4226.4,453.4,5.8,232.8,272.1,25.7,87.9,100.0,288.5,15.9,75.9,556.6,6834.8,6202.3,18.1,12.4
2017-01-01 11:00:00,-0.0,-3300.3,3442.8,87.8,197.2,4239.6,452.6,5.8,220.4,269.3,21.8,17.7,100.3,288.4,15.9,74.0,579.5,6801.5,6148.0,18.5,12.6
2017-01-01 12:00:00,-49.9,-3153.1,3439.2,86.7,197.9,4358.0,454.3,5.8,214.4,269.2,21.7,0.0,96.4,285.8,15.8,68.7,472.7,6853.5,6312.2,16.7,11.4
2017-01-01 13:00:00,-0.9,-2895.1,3438.1,86.7,198.1,4333.1,446.3,5.8,210.4,267.1,21.7,58.9,94.6,283.9,16.7,65.1,268.7,6967.5,6633.7,13.4,9.6
2017-01-01 14:00:00,-0.0,-2724.6,3438.3,87.9,198.0,4442.6,462.6,5.8,211.3,272.6,21.6,131.6,95.0,284.4,16.7,58.4,73.5,7161.3,7029.4,10.2,7.6
2017-01-01 15:00:00,-0.0,-3099.7,3437.8,90.6,211.4,4573.1,457.3,5.8,215.4,274.9,26.5,644.1,99.1,286.1,16.8,67.9,10.3,7380.2,7302.1,9.5,7.2
2017-01-01 16:00:00,-0.0,-3051.6,3435.3,87.3,218.1,4543.3,490.1,5.8,217.3,279.0,33.8,671.6,108.8,291.9,16.8,74.7,0.0,7513.1,7438.4,9.5,7.3
2017-01-01 17:00:00,-0.0,-3212.1,3435.9,88.0,217.6,4536.5,567.0,5.8,217.9,280.4,28.7,708.6,111.5,292.2,16.8,82.6,0.0,7479.9,7397.3,9.6,7.3
2017-01-01 18:00:00,-0.0,-3173.1,3437.9,83.8,219.5,4523.2,601.1,5.8,220.7,281.8,34.3,584.8,113.0,293.1,16.8,100.0,0.0,7421.6,7321.5,10.0,7.4
2017-01-01 19:00:00,-0.0,-3330.9,3435.5,83.9,221.3,4533.6,653.8,5.8,223.4,278.1,34.0,583.4,110.0,290.9,16.8,108.5,0.0,7355.5,7247.0,10.2,7.5
2017-01-01 20:00:00,-0.0,-3062.3,3437.1,84.7,223.3,4522.2,653.0,5.8,220.1,268.9,27.7,69.0,102.7,287.7,16.8,113.6,0.0,7070.9,6957.2,10.5,7.5
2017-01-01 21:00:00,-195.6,-2959.9,3436.1,85.6,223.0,4537.8,600.1,5.8,224.6,254.3,21.3,0.0,95.0,282.3,16.7,120.9,0.0,6854.9,6734.0,10.8,7.5
2017-01-01 22:00:00,-200.4,-3076.1,3434.6,85.7,222.2,4415.5,592.5,5.8,220.6,256.3,21.2,0.0,92.7,281.4,16.7,140.0,0.0,6572.2,6432.2,11.5,7.8
2017-01-01 23:00:00,-544.1,-2798.6,3434.1,82.2,224.1,4359.0,609.6,5.8,216.1,252.4,21.3,0.0,92.0,280.6,16.7,139.2,0.0,6431.3,6292.1,11.8,7.8
2017-01-02 00:00:00,-1001.6,-2255.4,3436.7,82.2,224.1,4373.9,619.7,5.8,217.0,255.2,21.3,0.0,91.9,279.9,16.7,130.6,0.0,6513.1,6382.5,11.5,7.7
2017-01-02 01:00:00,-1001.2,-2285.2,3435.5,82.2,224.1,4384.0,583.5,5.8,220.7,256.8,21.3,0.0,91.8,280.0,16.7,125.2,0.0,6510.8,6385.6,11.4,7.6
2017-01-02 02:00:00,-884.0,-2429.5,3433.2,82.3,224.0,4351.8,578.8,5.8,220.2,257.8,21.2,0.0,91.1,280.1,16.7,102.8,0.0,6413.7,6310.9,11.2,7.4
2017-01-02 03:00:00,-817.6,-2338.5,3438.0,82.3,224.0,4372.6,608.5,5.8,221.8,261.2,21.1,0.0,89.9,278.8,16.7,90.1,0.0,6579.8,6489.7,10.7,7.3
2017-01-02 04:00:00,-601.4,-2267.5,3436.7,85.7,224.1,4390.1,650.0,5.8,223.4,364.6,20.9,0.0,93.8,278.1,16.7,83.4,0.0,7153.3,7069.8,9.8,7.1
2017-01-02 05:00:00,-9.9,-2268.1,3436.9,84.9,224.7,4458.6,663.0,5.8,220.9,611.7,35.2,108.7,110.6,285.5,15.9,91.6,0.0,8192.5,8100.9,8.9,7.1
2017-01-02 06:00:00,-0.0,-1946.8,3439.9,85.8,225.0,4541.5,669.1,5.8,207.2,879.1,36.6,0.0,113.7,288.7,15.9,82.2,9.2,8751.3,8659.9,8.4,6.9
2017-01-02 07:00:00,-0.0,-2734.7,3438.7,80.1,225.2,4747.3,674.1,5.8,221.3,1020.0,91.3,555.2,116.4,289.7,15.9,81.2,29.2,9077.8,8967.4,8.9,7.3
2017-01-02 08:00:00,-0.0,-2636.0,3439.9,80.3,225.2,4826.7,688.9,5.8,231.0,1041.1,88.4,656.2,117.3,287.9,15.9,80.9,108.5,9452.1,9262.7,9.3,7.8
2017-01-02 09:00:00,-0.0,-2504.8,3438.8,82.9,225.2,4829.9,693.7,5.8,228.3,1035.4,66.7,675.0,117.5,286.9,15.9,82.6,164.3,9593.1,9346.2,9.6,8.1
2017-01-02 10:00:00,-0.0,-2487.7,3438.3,82.6,225.2,4835.9,697.9,5.8,229.2,1043.1,34.8,699.7,118.5,287.9,15.9,85.1,199.5,9653.9,9369.3,9.6,8.2
2017-01-02 11:00:00,-0.0,-1847.5,3435.2,82.7,225.0,4806.7,696.9,5.8,229.7,1009.2,34.5,372.4,116.8,289.1,15.9,90.9,173.3,9901.8,9637.6,9.1,8.1
2017-01-02 12:00:00,-0.0,-1867.8,3432.7,81.5,224.8,4753.1,683.4,5.8,220.9,977.0,34.4,488.2,116.3,289.6,15.9,89.2,109.9,9807.4,9608.3,8.5,7.6
